lat,long,price,bedrooms,bathrooms,sqft_living,zipcode
47.3581,-122.317,310000.0,4,2.75,2060,98198
47.6024,-122.295,823000.0,6,1.75,2920,98122
47.7635,-122.35,275000.0,3,1.5,1410,98133
47.3452,-122.209,329900.0,4,2.75,2475,98002
47.7049,-122.123,932990.0,4,2.5,3640,98052
47.7675,-122.315,284900.0,2,1.5,1160,98155
47.6684,-122.365,436000.0,3,2.5,1150,98107
47.6142,-122.209,903000.0,2,1.5,1140,98004
47.3256,-122.298,253500.0,3,1.0,1640,98003
47.6746,-122.32,570000.0,4,1.75,2340,98115
47.688,-122.038,610000.0,3,2.5,2630,98053
47.5013,-122.244,218000.0,3,1.0,880,98178
47.56,-122.04,745000.0,4,2.5,3130,98075
47.6846,-122.294,700000.0,3,1.75,1640,98115
47.5559,-122.379,645000.0,4,2.75,2340,98126
47.7742,-122.287,434975.0,3,2.25,1590,98155
47.6978,-122.316,575700.0,3,1.75,1730,98115
47.5269,-122.171,535000.0,3,2.5,2110,98056
47.5293,-122.272,160000.0,2,2.0,1040,98118
47.3737,-122.216,267500.0,3,1.5,1600,98030
47.5773,-122.406,805000.0,3,2.75,2600,98116
47.6173,-122.056,949990.0,4,4.0,3970,98074
47.6876,-122.049,600000.0,4,2.25,2090,98053
47.6364,-122.214,3204000.0,4,4.0,4810,98004
47.7431,-122.073,325000.0,3,1.0,1160,98077
47.5638,-122.38,661000.0,4,2.25,1990,98126
47.5184,-122.196,293000.0,2,2.25,1610,98056
47.4662,-122.453,525000.0,4,2.25,2620,98070
47.5967,-122.14,450000.0,4,2.0,1570,98007
47.773,-122.16,613500.0,4,2.5,3020,98072
47.7067,-122.2,577500.0,3,2.5,2000,98034
47.7322,-122.185,475000.0,3,1.75,1890,98034
47.5701,-122.017,310000.0,3,1.5,1140,98029
47.695,-122.366,459000.0,2,1.75,1170,98117
47.3794,-122.32,265000.0,2,1.75,1090,98198
47.3643,-122.115,249500.0,2,1.75,1500,98042
47.2785,-122.213,250000.0,4,2.0,2010,98002
47.7201,-122.308,362000.0,4,2.5,2360,98125
47.7047,-122.128,640000.0,4,2.5,2260,98052
47.7077,-121.914,334200.0,3,1.75,1410,98019
47.6747,-122.393,630000.0,4,2.5,1910,98107
47.6667,-122.327,961000.0,5,2.75,2590,98105
47.461,-121.992,490000.0,4,2.25,3390,98027
47.7089,-122.201,470000.0,3,2.5,2000,98034
47.3907,-122.448,1379900.0,3,3.25,3786,98070
47.5185,-121.885,575000.0,4,2.5,2500,98065
47.2959,-122.166,260000.0,4,2.25,2320,98092
47.6323,-121.985,620000.0,4,2.5,2450,98053
47.5543,-122.398,675000.0,3,2.25,2070,98136
47.5019,-122.34,328423.0,3,2.5,1730,98146
47.345,-122.283,210000.0,3,2.0,1440,98001
47.5121,-122.168,261000.0,3,1.0,1660,98056
47.1959,-122.01,305000.0,3,2.0,1680,98022
47.6809,-122.293,679000.0,3,2.5,1780,98115
47.4544,-122.143,372500.0,4,2.25,1920,98058
47.5809,-122.403,608000.0,3,3.5,1660,98116
47.5112,-122.357,285000.0,2,1.0,780,98146
47.6845,-122.332,780000.0,5,1.5,1940,98103
47.6647,-122.284,625504.0,3,2.25,1270,98105
47.3586,-122.157,320000.0,4,2.5,2223,98042
47.515,-122.117,736500.0,4,2.5,3180,98059
47.5346,-122.391,670000.0,3,1.75,2160,98136
47.293,-122.215,207000.0,3,1.0,990,98002
47.6893,-122.365,555000.0,4,1.75,2320,98117
47.6285,-122.362,2300000.0,4,2.5,3280,98119
47.7382,-122.264,825000.0,4,3.25,4110,98028
47.5951,-122.037,599000.0,5,2.75,2730,98075
47.333,-122.098,569950.0,4,3.5,2700,98042
47.6248,-122.301,169317.0,2,1.0,790,98112
47.3713,-122.091,260000.0,3,2.25,1610,98042
47.7132,-122.355,500000.0,4,2.0,2280,98133
47.4463,-122.127,347000.0,3,1.75,1330,98058
47.6071,-122.285,676500.0,3,1.75,1300,98122
47.3524,-122.175,386000.0,4,2.5,2478,98030
47.6806,-122.287,489000.0,4,1.0,1150,98115
47.2602,-122.246,274900.0,3,2.0,1936,98001
47.4599,-122.172,290000.0,5,1.5,2120,98058
47.4034,-122.187,245000.0,3,2.5,1600,98031
47.5739,-122.406,936000.0,3,1.75,2960,98116
47.5311,-122.381,428950.0,2,1.0,1760,98126
47.5788,-122.41,380000.0,2,2.0,1120,98116
47.7336,-122.339,381800.0,4,2.0,1530,98133
47.4902,-122.179,259000.0,3,1.0,1320,98056
47.7573,-122.07,535000.0,3,2.5,1960,98077
47.6809,-122.348,630000.0,2,1.75,1260,98103
47.6419,-122.374,499950.0,3,2.5,1520,98119
47.5798,-122.383,495000.0,2,1.75,1280,98116
47.4927,-122.312,290000.0,4,2.0,1560,98168
47.5409,-121.994,790000.0,3,2.75,2460,98029
47.7219,-122.109,475000.0,4,2.25,1970,98052
47.381,-122.056,555000.0,4,2.5,2920,98038
47.268,-122.245,219000.0,3,1.5,1200,98001
47.6454,-122.373,615000.0,2,1.0,1540,98119
47.4682,-122.283,267000.0,3,1.0,1740,98188
47.5436,-122.357,385000.0,3,1.0,1020,98106
47.6201,-122.209,1500000.0,3,1.75,2430,98004
47.6989,-122.317,419500.0,3,1.5,1400,98115
47.359,-122.081,337500.0,4,2.5,2330,98042
47.6005,-122.129,418000.0,4,1.5,1550,98008
47.5549,-122.287,326000.0,6,3.0,2580,98118
47.5852,-122.391,930000.0,3,3.25,2950,98116
47.6181,-122.056,859990.0,4,2.75,3520,98074
47.633,-122.37,925000.0,3,3.0,2560,98119
47.7194,-122.371,500000.0,3,1.5,1320,98177
47.3392,-121.897,430000.0,3,1.5,1810,98010
47.3617,-122.061,300000.0,3,2.0,1470,98042
47.6775,-122.18,472500.0,4,1.75,1440,98033
47.6068,-122.112,600000.0,3,2.25,2100,98008
47.359,-122.049,258500.0,3,2.0,1460,98038
47.5584,-122.081,425000.0,3,2.0,1500,98027
47.6295,-122.32,575000.0,3,3.0,1384,98102
47.6364,-122.28,1425000.0,2,2.5,2220,98112
47.6847,-122.064,685000.0,3,2.5,2320,98053
47.4087,-122.17,320900.0,3,2.0,1770,98031
47.6262,-122.03,638250.0,4,2.5,2460,98074
47.5434,-122.368,358990.0,3,3.25,1710,98106
47.329,-122.219,220000.0,4,1.75,1530,98002
47.4367,-122.199,338000.0,3,2.5,1590,98055
47.569,-122.175,515000.0,3,1.75,1490,98006
47.5868,-122.116,851000.0,3,2.75,2660,98008
47.6005,-122.204,895000.0,5,2.5,2350,98004
47.6604,-122.352,598500.0,3,3.0,1560,98103
47.7741,-122.373,494000.0,4,2.5,1830,98177
47.7259,-122.297,403500.0,3,1.0,1830,98125
47.7631,-122.028,643000.0,3,1.5,1780,98077
47.6088,-122.193,672000.0,3,1.0,1220,98004
47.5348,-122.295,395000.0,2,1.0,700,98108
47.7768,-122.361,443000.0,3,1.75,1530,98177
47.2873,-122.367,205000.0,3,1.75,1420,98023
47.616,-122.314,353000.0,1,1.0,550,98122
47.7001,-122.279,460000.0,4,1.75,1560,98115
47.4655,-122.174,225000.0,3,2.0,1400,98058
